name,number,type,address,city,state,zip,lat,lng
COLB,292,STATION,151 SHOP GROVE DRIVE,COLUMBIA,SC,29209,33.9404055,-80.9599933
SPAR,293,STATION,450 FALLING CREEK RD,SPARTANBURG,SC,29301,34.9580486,-82.0490851
CHAS,294,STATION,6850 WEBER RD,LADSON,SC,29456,32.9593196,-80.0930159
FLOR,295,STATION,2498 FLORENCE HARLEE BOULEVARD,FLORENCE,SC,29506,34.26776672,-79.68662812
GREE,296,STATION,135 FEDEX WAY,GREENVILLE,SC,29605,34.79213831,-82.39374687
FTML,297,STATION,3058 LAKEMONT BOULEVARD,FORT MILL,SC,29708,35.0895825,-80.9399251
NJKS,298,SUBSTATION,9779 PRITCHARD ROAD,JACKSONVILLE,FL,32219,30.3792683,-81.8188393
WSNC,299,STATION,505 MORGAN LAKES INDUSTRL BLVD,POOLER,GA,31322,32.1728302,-81.27471
MARL,300,HUB LOCAL,1675 AIRPORT ROAD NW,KENNESAW,GA,30144,34.0087685,-84.6019546
NORC,301,STATION,6265 ATLANTIC BOULEVARD,NORCROSS,GA,30071,33.94028045,-84.23493065
ATLL,302,HUB LOCAL,4665 SOUTH PARK BOULEVARD,ELLENWOOD,GA,30294,33.627286,-84.2930181
ATLA,303,HUB,4665 SOUTH PARK BOULEVARD,ELLENWOOD,GA,30294,33.627286,-84.2930181
STAT,304,STATION,3400 ZELL MILLER BOULEVARD,STATESBORO,GA,30458,32.3861162,-81.8394274
MARI,305,HUB,1675 AIRPORT ROAD NW,KENNESAW,GA,30144,34.0087685,-84.6019546
ATHN,306,STATION,1655 OLYMPIC DRIVE,ATHENS,GA,30601,33.9866063,-83.33191071
SALN,307,STATION,3120 ANVIL BLOCK RD ELLENWOOD,ELLENWOOD,GA,30294,33.6362847,-84.2857343
SANC,308,STATION,3120 ANVIL BLOCK RD ELLENWOOD,ELLENWOOD,GA,30294,33.6362847,-84.2857343
AUGU,309,STATION,2902 GUN CLUB ROAD,AUGUSTA,GA,30907,33.5236556,-82.0309279
BRSL,310,STATION,650 BRASELTON PARYKWAY,BRASELTON,GA,30517,34.1193722,-83.7739042
ASTE,311,STATION,7585 FACTORY SHOALS RD. SW,AUSTELL,GA,30168,33.7679273,-84.5882092
MACO,312,STATION,1035 FRANK AMERSON PARKWAY,MACON,GA,31216,32.7377554,-83.72542583
NSVN,313,STATION,595 NORTHPORT PARKWAY,PORT WENTWORTH,GA,31407,32.1993607,-81.1762884
SVNA,314,STATION,126 GIGNILLIAT CIRCLE,SAVANNAH,GA,31408,32.1197786,-81.2210736
WAYC,315,STATION,3349 SIMMONS DRIVE,WAYCROSS,GA,31503,31.2582297,-82.4282888
EALN,316,STATION,4644 SOUTHPARK BLVD,ELLENWOOD,GA,30294,33.6283848,-84.2889375
ALBG,317,STATION,1508 DOUGHERTY AVENUE,ALBANY,GA,31705,31.5541633,-84.1189432
SARS,318,STATION,3120 ANVIL BLOCK ROAD,ELLENWOOD,GA,30294,33.6362847,-84.2857343
COGA,319,STATION,6101 CHATTSWORTH COURT,MIDLAND,GA,31820,32.5328416,-84.8484037
JKSV,320,STATION,13509 WATERWORKS STREET,JACKSONVILLE,FL,32221,30.2762511,-81.8910597
PTRS,322,STATION,13701 SW ANTHONY F SANSONE SR,PORT ST. LUCIE,FL,34987,27.2977589,-80.5216184
TALA,323,STATION,2058 SUMMIT LAKE DRIVE,TALLAHASSEE,FL,32317,30.48315442,-84.14848168
PMCT,324,STATION,7801 COMMERCE BLVD,PANAMA CITY,FL,32404,30.2731848,-85.5184642
PENS,325,STATION,300 MOSSY HEAD PLAZA,DEFUNIAK SPRINGS,FL,32435,30.7351185,-86.3439573
OCLL,326,HUB LOCAL,3100 NW 35TH AVE RD,OCALA,FL,34475,29.2135377,-82.1774311
ORLL,327,HUB LOCAL,3000 DIRECTORS ROW,ORLANDO,FL,32809,28.46189455,-81.42491181
ORLA,328,HUB,3000 DIRECTORS ROW,ORLANDO,FL,32809,28.46189455,-81.42491181
COCO,329,STATION,3155 GRISSOM PKWY,COCOA,FL,32926,28.41527481,-80.78520212
KEYW,330,STATION,100 CHAPMAN ROAD,BIG PINE KEY,FL,33043,24.668217,-81.3568278
MIAM,331,STATION,10400 NW 122nd STREET,MIAMI,FL,33178,25.8825529,-80.3654941
FTLA,333,STATION,2700 NW 25TH STREET,POMPANO BEACH,FL,33069,26.1584286,-80.2222241
WPLM,334,STATION,5731 PREMIER PARK DRIVE,WEST PALM BEACH,FL,33407,26.76232726,-80.12638023
OAKR,335,STATION,7153 S. JOHN YOUNG PARKWAY,ORLANDO,FL,32809,28.4625174,-81.4193991
TAMP,336,STATION,8411 FLORIDA MINING BOULEVARD,TAMPA,FL,33634,28.0268881,-82.531934
STPT,337,STATION,1950 102ND AVE  NORTH,SAINT PETERSBURG,FL,33716,27.8648062,-82.6511396
PLMB,338,STATION,7358 7TH PLACE NORTH,WEST PALM BEACH,FL,33411,26.6872363,-80.1639645
FTMY,339,STATION,14001 JETPORT LOOP,FORT MYERS,FL,33913,26.53908285,-81.7878358
KEYR,340,SUBSTATION,2 NORTH BLACKWATER LANE,KEY LARGO,FL,33037,25.159204,-80.386183
NFTM,341,STATION,1880 ORTIZ AVENUE,FORT MYERS,FL,33905,26.6647548,-81.8122905
BDTN,342,STATION,11915 31ST TERRACE EAST,PALMETTO,FL,34221,27.6220212,-82.534021
KEND,343,STATION,27200 SW 127TH AVE,HOMESTEAD,FL,33032,25.5123944,-80.3987434
OCAL,344,HUB,3100 NW 35TH AVE RD,OCALA,FL,34475,29.2135377,-82.1774311
SKEY,345,SUBSTATION,121 OVERSEAS HIGHWAY,KEY WEST,FL,33040,24.570175,-81.751682
CTPK,346,STATION,5025 W. KNOLLWOOD ST.,TAMPA,FL,33634,28.007965,-82.461594
SNFD,347,STATION,451 MONROE ROAD,SANFORD,FL,32771,28.8004747,-81.3227111
DAVE,348,STATION,5000 NORTH RIDGE TRAIL,DAVENPORT,FL,33897,28.2355199,-81.6589093
SKYL,349,STATION,7830 SOUTHLAND BOULEVARD,ORLANDO,FL,32809,28.45096143,-81.40718821
EBIR,350,STATION,3200 RODEO COURT,BESSEMER,AL,35022,33.3953083,-86.9231099
BIRM,352,STATION,4901 ALTON COURT,BIRMINGHAM,AL,35210,33.5527304,-86.6589045
OANC,353,STATION,7153 JOHN YOUNG PARKWAY ,ORLANDO,FL,32809,28.4652877,-81.4181998
TUSC,354,STATION,3606 FOSTERS INDUSTRIAL DRIVE,TUSCALOOSA,AL,35401,33.1813935,-87.6009653
